;;;;;;
Advanced wordlist: English to German;;;;;;
Page No.;English;Part of Speech;Definition;German;;
;UNIT 19;;;;;
91;buoyant;adj;healthy and strong;rege, florierend;;
91;labour intensive ;adj;needing a lot of workers;arbeitsintensiv;;
91;natural wastage ;n;reduction in the number of people who work for an organisation which is achieved by not replacing those people who leave;Stellenabbau, indem freiwerdende Stellen nicht wieder besetzt werden;;
91;voluntary redundancy scheme;n;arrangement when a company needs to reduce its workforce and some employees choose to be made redundant (because they have found another job or would like to stop working);Abfindungsmodell;;
92;excess production capacity ;n;ability of a factory to produce more than it actually does;die ProduktionskapazitÑt Åberschreiten;;
92;glitch;n;small problem or fault that prevents something from working well;kleiner Stîrfaktor;;
92;hire and fire ;v;employ and dismiss;einstellen und entlassen;;
92;lead time;n;time needed to design and develop a new product;Entwicklungszeit;;
92;product-led;adj;activities are determined by the requirements of the product (as opposed to customer-led or marketing-led);produktorientiert;;
92;retool;v;change or replace machinery in a factory;mit neuen Maschinen ausrÅsten;;
92;stockpile;v;build up a large store of goods which have not been sold yet;bevorraten, stapeln;;
93;symposium;n;occasion at which people who have great knowledge of a particular subject meet in order to discuss a matter of interest;Symposium;;
94;incentive payment;n;financial reward to stimulate action from staff or customers;LeistungsprÑmie;;
T9;churn out;v;produce large amounts of something quickly, usually of low quality;am Flie·band herstellen;;
T9;downside;n;disadvantage of a situation;Kehrseite;;
T9;gadget ;n;small device or machine with a particular purpose;kleiner Apparat;;
T9;manufacturing base ;n;all the companies producing goods in a country or region;das produzierende Gewerbe;;
T9;shift ;v;sell;(Waren) verschieben ;;
T9;vagaries;pl n;any of a set of unusual or unexpected events or changes that have an effect on someone;Launen;;
;UNIT 20;;;;;
95;put your money where your mouth is;v;show that you believe in something by spending/or investing money;auf Worte Taten (bzw. Investitionen) folgen lassen;;
96;reformulate ;v;develop again all the details of a plan for doing something;neu erarbeiten;;
96;resettlement package;n;collection of benefits offered to an employee who is relocating to another town, city or country for their work;Umzugspaket;;
T10;get your desk clear ;v;finish all your work;den Schreibtisch freischaffen;;
T10;put more on someone?s plate;v;give someone more work to deal with;jemandem mehr zu tun geben;;
T10;safety procedure;n;official or accepted set of actions used to keep people safe;Sicherheitsbestimmungen;;
T10;workstation;n;area in a workplace where one person works;Arbeitsplatz;;
T11;breadwinner ;n;member of a family who earns the money that the family needs;Brotverdiener;;
T11;close down;v;if a business or organisation closes down, or someone closes it down, it stops operating;schlie·en, stilllegen;;
T11;package;n;related group of things when they are offered together as a single unit;Paket;;
T12;cut back ;v;use in smaller amounts;kÅrzen, mindern;;
T12;legal entitlement;n;something that, in law, you have the right to do or have, or when you have the right to do or have something ;Rechtsanspruch, Berechtigung;;
T12;one-off payment ;n;money that is paid only once;einmalige Zahlung;;
T12;out of pocket;adj;having less money than you started with;kein Geld mehr haben;;
T12;outplacement service ;n;professional service to help redundant employees to search for a new job, paid for by the former employer;UnterstÅtzung bei der Stellensuche fÅr ausscheidende Mitarbeiter ;;
T10;point on the pay scale;n;position on the salary scale which shows different rates of pay depending on your job and your seniority;Stand auf der Lohn-/Gehaltsskala;;
;UNIT 21;;;;;
100;corporate social responsibility (CSR);n;proposal that organisations should be obliged to make decisions based not only on financial/economic factors but also on the social and environmental consequences of their activities;soziale Verantwortung eines  Unternehmens, nachhaltiges Wirtschaften;;
100;discharge a debt;;pay a debt completely;eine Schuld begleichen;;
100;ethics pl;pl n;a system of accepted beliefs which control behaviour, especially such a system based on morals;Ethik;;
100;faulty;adj;not perfectly made or not working correctly;fehlerhaft, mangelhaft;;
101;advocate;n;person who supports an idea (or product);Anwalt, Verfechter;;
101;benefits;pl n;things such as medical insurance that employees receive in addition to money;VergÅnstigungen;;
101;better off ;adj;richer;in besseren VerhÑltnissen;;
101;knock-on effect;;when an event or situation has a knock-on effect, it indirectly causes other events or situations;Dominoeffekt;;
101;premise;n;idea or theory on which a statement or action is based;PrÑmisse;;
101;progressive;adj;encouraging change in the way that things are done;progressiv;;
101;recycle;v;collect and treat rubbish in order to produce useful materials which can be used again;recyceln;;
101;regulation;n;official rule;Vorschrift;;
101;stakeholder;n;person such as an employee, customer or citizen who is involved with an organisation and therefore has an interest in its success;Person, die mit einem Unternehmen zu tun hat;;
101;unethical;adj;not morally acceptable;unmoralisch;;
102;break even;v;make neither a loss nor a profit doing business;mit plus/minus Null abschlie·en;;
102;economic downturn ;n;reduction in a country?s financial activity;wirtschaftlicher Abschwung;;
102;pursuit;n;when you try to achieve a plan, activity, or situation, usually over a long period of time;Streben;;
102;slip;v;go into a worse state, often because of lack of control or care;nachlassen;;
103;compliance;n;when people obey an order, rule or request;ErfÅllung;;
103;mandatory;adj;describes something which must be done, or which is demanded by law;Pflicht-;;
103;word of mouth;n;people telling each other how good a product is;Mundpropaganda;;
T13;crop;n;(total amount gathered of) a plant such as a grain, fruit or vegetable grown in large amounts;Ernte;;
T13;subsidy;n;money given as part of the cost of something, to help or encourage it to happen;Zuschuss;;
T13;trade tariff;n;tax collected by a government on goods coming into or sometimes going out of a country;Handelsabgaben;;
;UNIT 22;;;;;
104;acquisition;n;buying new companies;öbernahme;;
104; double-digit;adj;number with two digits (i.e. between 10 and 99inclusive);zweistellig;;
104;sustained ;adj;continuing for a long time;anhaltend, nachhaltig;;
105;diverse footprint;n;varied area over which something is present;breites Profil;;
105;expertise;n;high level of knowledge or skill;Kompetenz;;
105;line of business ;n; particular kind of commercial enterprise;GeschÑftsbereich;;
105;synergy;n;the combined power of a group of things when they are working together which is greater than the total power achieved by each working separately;Synergie;;
106;briefing ;n;meeting where information and instructions are given;Einweisung;;
106;clutch ;n;handful;eine Handvoll;;
106;customer base;n;regular customers;Kundenstamm;;
106;FTSE ;n;"Financial Times Stock Exchange 100 index; the main measure of the amount by which the leading 100 shares sold on the London Stock Exchange have gone up or down in value";AbkÅrzung fÅr den Aktienindex Financial Times Stock Exchange;;
106;rate;v;judge the value or character of someone or something;beurteilen;;
106;straight talking;n;direct and straightforward way of communicating with others;Klartext reden;;
106;surge ;v;increase suddenly and greatly;rasch zunehmen;;
107;quarterly;adv;once every three months;einmal pro Quartal;;
T22;staffing level;n;the numbers of employees;Mitarbeiterzahl;;
T14;alignment;n;agreement between people who want to work together because of shared interests or aims;Abstimmung, öbereinkunft;;
T14;calibre;n;degree of quality or excellence of someone;Kaliber;;
T14;leafleting ;n;giving out leaflets to people;Prospekte verteilen;;
T14;management reporting ;n; monthly report(s) on financial performance produced by management for shareholders;Managementbericht;;
T14;ongoing;adj;continuing to exist or develop, or happening at the present moment;laufend;;
T14;realise ;v;change into money by selling;zu Geld machen;;
T14;supply base;n;range of suppliers and potential suppliers;Lieferantenstamm;;
T14;take over;v;get control (of a company) by buying most of its shares;Åbernehmen;;
T15;supervision;n;when someone watches a person or activity and makes certain that everything is done correctly, safely, etc.;öberwachung;;
;UNIT 23;;;;;
109;in the pipeline;adv;being planned and developed;in der Planung;;
109;patent;v;register the official legal right to make or sell an invention for a particular number of years;patentieren;;
110;economies of scale pl;pl n;where the costs of production fall as a business grows in size;Betriebsgrî·enersparnisse;;
111;ground-breaking;adj;if something is ground-breaking, it is very new and a big change from other things of its type;bahnbrechend;;
T17;get off the ground;v;if a plan or activity gets off the ground or you get it off the ground, it starts or succeeds;starten;;
T17;global presence ;n; if a company has a global presence, it sells its products all over the world;weltweite PrÑsenz;;
T17;presence;n;see global presence;PrÑsenz;;
;UNIT 24;;;;;
114;contingency plan;n;programme of action designed for handling possible problems;Notfallplanung;;
114;have your hands in the till ;v;steal money from the place where you work;in die Kasse greifen;;
114;trade away;v;pass on to someone else;weitergeben;;
115;come under scrutiny ;v;subject to careful and thorough examination;auf dem PrÅfstand stehen;;
115;get a bad press;v;receive criticism from the media;eine schlechte Presse bekommen;;
 T19;limited liability company ;n; if this type of business goes bankrupt, then the owners will only risk the money they have invested in the company;Unternehmen mit beschrÑnkter Haftung;;
T18;marketing-led ;adj;influenced by customers? needs (as opposed to being product-led);marketingorientiert;;
 ∏ Cambridge University Press 2006;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
